,lati,long,etopm,etoiv,etohs,municipios
0,-10.1689,-48.3317,4.74,7.49,5.30,Palmas
1,-12.6162,-47.8836,4.99,7.97,5.93,Parana
2,-12.0262,-48.5396,5.10,7.03,5.83,Peixe
3,-11.7249,-49.076,4.93,6.55,5.73,Gurupi
4,-8.9715,-48.1754,4.55,6.03,5.55,Pedro_afonso
5,-7.19207,-48.2078,4.11,4.37,5.66,Araguaina
6,-11.6281,-46.8214,5.52,7.71,4.94,Dianopolis
7,-11.7957,-49.5311,5.05,6.95,5.94,Formoso_do_araguaia
8,-10.5464,-46.4168,6.18,8.16,5.83,Mateiros
9,-9.79377,-49.6553,4.68,5.03,5.69,Marianopolis_do_to
10,-5.65615,-48.1189,4.62,6.12,5.33,Araguatins
